Rk,,Name,Team,Age,GP,GAA,SV%,W,L,SO,TIME,G,A,P,PIM
1,,Connor Hellebuyck,WPG,24,67,2.36,0.924,44,11,6,3966,0,2,2,0
2,,Cameron Talbot,EDM,30,67,3.02,0.908,31,31,1,3730,0,1,1,8
3,,Frederik Andersen,TOR,28,66,2.81,0.918,38,21,5,3889,0,1,1,2
4,,Sergei Bobrovsky,CBJ,29,65,2.42,0.921,37,22,5,3912,0,3,3,0
5,,Andrei Vasilevski,TBL,23,65,2.62,0.92,44,17,8,3825,0,2,2,14
6,,Jonathan Quick,LAK,31,64,2.4,0.921,33,28,5,3677,0,4,4,10
7,,Henrik Lundqvist,NYR,35,63,2.98,0.915,26,26,2,3503,0,1,1,0
8,,Devan Dubnyk,MIN,31,60,2.52,0.918,35,16,5,3450,0,3,3,12
9,,John Gibson,ANA,24,60,2.43,0.926,31,18,4,3428,0,1,1,16
10,,Martin Jones,SJS,27,60,2.55,0.915,30,22,4,3416,0,0,0,2
11,,Jacob Markström,VAN,27,60,2.71,0.912,23,26,2,3414,0,3,3,4
12,,Jim Howard,DET,33,60,2.85,0.91,22,27,1,3368,0,1,1,10
13,,Pekka Rinne,NSH,35,59,2.31,0.927,42,13,8,3475,0,1,1,6
14,,Jake Allen,STL,27,59,2.75,0.906,27,25,1,3317,0,1,1,0
15,,Craig Anderson,OTT,36,58,3.32,0.898,23,25,2,3251,0,0,0,2
16,,Mike Smith,CGY,35,55,2.65,0.916,25,22,3,3190,0,2,2,8
17,,Tuukka Rask,BOS,30,54,2.36,0.917,34,14,3,3173,0,2,2,4
18,,Braden Holtby,WSH,28,54,2.99,0.907,34,16,0,3067,0,0,0,2
19,,Jaroslav Halak,NYI,32,54,3.19,0.908,20,26,1,3024,0,0,0,4
20,,Ben Bishop,DAL,31,53,2.49,0.917,26,17,5,2887,0,1,1,4
21,,Robin Lehner,BUF,26,53,3.01,0.908,14,26,3,2852,0,0,0,2
22,,Semyon Varlamov,COL,29,51,2.68,0.92,24,16,2,2861,0,0,0,2
23,,Carey Price,MTL,30,49,3.11,0.901,16,26,1,2855,0,0,0,0
24,,Matt Murray,PIT,23,49,2.92,0.907,27,16,1,2733,0,1,1,2
25,,Antti Raanta,ARI,28,47,2.24,0.93,21,17,3,2599,0,0,0,0
26,,Marc-Andre Fleury,VGK,33,46,2.25,0.927,29,13,4,2673,0,1,1,6
27,,James Reimer,FLA,29,44,2.99,0.913,22,14,4,2411,0,1,1,4
28,,Brian Elliott,PHI,32,43,2.67,0.909,23,11,1,2522,0,1,1,2
29,,Scott Darling,CAR,29,43,3.18,0.888,13,21,0,2475,0,0,0,2
30,,Cam Ward,CAR,33,43,2.73,0.906,23,14,2,2459,0,0,0,14
31,,Keith Kinkaid,NJD,28,41,2.77,0.913,26,10,1,2298,0,2,2,2
32,,Cory Schneider,NJD,31,40,2.93,0.907,17,16,1,2332,0,0,0,0
33,,Petr Mrazek,PHI,25,39,3.03,0.902,14,13,4,2097,0,0,0,0
34,,Jonathan Bernier,COL,29,37,2.85,0.913,19,13,2,2001,0,1,1,0
35,,Kari Lehtonen,DAL,34,37,2.56,0.912,15,14,1,1944,0,0,0,4
36,,Chad Johnson,BUF,31,36,3.55,0.891,10,16,0,1774,0,0,0,0
37,,Roberto Luongo,FLA,38,35,2.47,0.929,18,11,3,1966,0,2,2,0
38,,Philipp Grubauer,WSH,26,35,2.35,0.923,15,10,3,1865,0,1,1,0
39,,Anton Forsberg,CHI,25,35,2.97,0.908,10,16,0,1715,0,1,1,0
40,,Carter Hutton,STL,32,32,2.09,0.931,17,7,3,1610,0,0,0,2
41,,Anton Khudobin,BOS,31,31,2.56,0.913,16,6,1,1781,0,2,2,2
42,,Mike Condon,OTT,27,31,3.25,0.902,5,17,0,1626,0,2,2,0
43,,Darcy Kuemper,ARI,27,29,2.52,0.92,12,7,4,1596,0,1,1,0
44,,Aaron Dell,SJS,28,29,2.64,0.914,15,5,2,1522,0,1,1,0
45,,Corey Crawford,CHI,33,28,2.27,0.929,16,9,2,1584,0,0,0,0
46,,Alex Stalock,MIN,30,28,2.85,0.91,10,10,1,1495,0,0,0,0
47,,Ryan Miller,ANA,37,28,2.35,0.928,12,6,4,1353,0,0,0,0
48,,Thomas Greiss,NYI,31,27,3.82,0.892,13,8,1,1492,0,0,0,0
49,,Anders Nilsson,VAN,27,27,3.44,0.901,7,14,2,1464,0,1,1,0
50,,Juuse Saros,NSH,22,26,2.45,0.925,11,5,3,1497,0,3,3,0
51,,Tristan Jarry,PIT,22,26,2.77,0.908,14,6,2,1364,0,2,2,4
52,,Antti Niemi,MTL,34,24,3.12,0.911,7,9,1,1213,0,1,1,0
53,,Malcolm Subban,VGK,24,22,2.68,0.91,13,3,0,1230,0,0,0,2
54,,Michal Neuvirth,PHI,29,21,2.6,0.915,8,7,1,1039,0,1,1,0
55,,David Rittich,CGY,25,21,2.92,0.904,8,6,0,1008,0,0,0,14
56,,Scott Wedgewood,ARI,25,20,3.45,0.893,5,9,1,1097,0,0,0,2
57,,Louis Domingue,TBL,25,19,3.41,0.895,7,9,0,1074,0,0,0,2
58,,Ondrej Pavelec,NYR,30,19,3.05,0.91,4,9,1,904,0,0,0,2
59,,Joonas Korpisalo,CBJ,23,18,3.32,0.897,8,8,0,1049,0,0,0,0
60,,Curtis McElhinney,TOR,34,18,2.15,0.934,11,5,3,979,0,1,1,0
61,,Maxime Lagace,VGK,24,16,3.92,0.867,6,7,0,874,0,0,0,0
62,,Jeff Glass,CHI,32,15,3.36,0.898,3,7,0,821,0,0,0,2
63,,Charlie Lindgren,MTL,24,14,3.03,0.908,4,8,2,833,0,0,0,2
64,,Laurent Brossoit,EDM,24,14,3.24,0.883,3,7,0,740,0,1,1,0
65,,Casey DeSmith,PIT,26,14,2.4,0.921,6,4,1,700,0,0,0,2
66,,Al Montoya,EDM,32,13,3.21,0.893,4,3,0,692,0,2,2,0
67,,Steve Mason,WPG,29,13,3.24,0.906,5,6,1,685,0,1,1,0
68,,Jean-Francois Berube,CHI,26,13,3.78,0.895,3,6,0,667,0,0,0,0
69,,Jon Gillies,CGY,23,11,2.88,0.896,3,5,0,605,0,0,0,2
70,,Alex Lyon,PHI,25,11,2.75,0.905,4,2,0,480,0,0,0,0
71,,Alexandar Georgiev,NYR,21,10,3.15,0.918,4,4,0,515,0,0,0,0
72,,Harri Säteri,FLA,28,9,2.92,0.911,4,4,0,493,0,0,0,0
73,,Peter Budaj,TBL,35,8,3.76,0.876,3,3,0,430,0,0,0,0
74,,Christopher Gibson,NYI,25,8,3.66,0.909,2,3,0,427,0,0,0,0
75,,Eddie Läck,NJD,29,8,4.02,0.87,2,4,0,343,0,0,0,0
76,,Jared Coreau,DET,26,7,4.26,0.867,0,5,0,380,0,0,0,0
77,,Jack Campbell,LAK,25,5,2.48,0.924,2,0,0,267,0,0,0,0
78,,Linus Ullmark,BUF,24,5,2,0.935,1,2,0,240,0,0,0,0
79,,Reto Berra,ANA,30,5,2.31,0.926,1,1,0,182,0,0,0,0
80,,Adin Hill,ARI,21,4,3.49,0.892,1,3,0,241,0,0,0,0
81,,Oscar Dansk,VGK,23,4,1.78,0.946,3,0,1,169,0,0,0,0
82,,Eric Comrie,WPG,22,3,3.99,0.872,1,2,0,180,0,0,0,0
83,,Michael Hutchinson,WPG,27,3,3.26,0.907,2,1,0,129,0,1,1,0
84,,Ken Appleby,NJD,22,3,1.45,0.946,0,1,0,124,0,0,0,0
85,,Collin Delia,CHI,23,2,3.96,0.889,1,1,0,106,0,0,0,2
86,,Mike McKenna,DAL,34,2,2.96,0.9,1,1,0,101,0,0,0,0
87,,Calvin Pickard,TOR,25,1,3.84,0.857,0,0,0,63,0,0,0,0
88,,Thatcher Demko,VAN,22,1,3.91,0.867,1,0,0,61,0,0,0,0
89,,Daniel Taylor,OTT,31,1,4.1,0.882,0,1,0,58,0,0,0,0
90,,Andrew Hammond,COL,29,1,2.06,0.939,0,1,0,58,0,0,0,0
91,,Adam Wilcox,BUF,25,1,0,1,0,1,0,39,0,0,0,0
92,,Marek Langhamer,ARI,23,1,0,1,0,0,0,29,0,0,0,0
93,,Scott Foster,CHI,35,1,0,1,0,0,0,14,0,0,0,0
94,,Brandon Halverson,NYR,21,1,4.78,0.833,0,0,0,13,0,0,0,0
95,,Dylan Ferguson,VGK,19,1,6.5,0.5,0,0,0,9,0,0,0,0